date,focal,act,partner,focgroup,prtgroup,focsex,prtsex,dyadtype,group.combo,behav,direction,period,winner,loser,Intensity,id1,id2,Dyad,Obs.effort,outcome,rval,RankDiff,winner.group,loser.group,win,s1,d1,s2,d2,relative.size
9/18/14,ux,dt2,oy,PHG,PHG,F,F,FF,same,dt,2,Stable,oy,ux,0,ux,oy,oy_ux,4380,split apart,0,0.030311742,PHG,PHG,0,PHG,ENK,PHG,PHG,leaver
9/24/14,o6,dp1,ur,PHG,PHG,F,F,FF,same,dp,1,Stable,o6,ur,0,o6,ur,o6_ur,1755,split apart,0,0.340088279,PHG,PHG,1,PHG,YNT,PHG,PHG,leaver
9/25/14,tr,dt1,ug,PHG,PHG,F,F,FF,same,dt,1,Stable,tr,ug,0,tr,ug,tr_ug,4485,split apart,0,0.486411882,PHG,PHG,1,PHG,YNT,PHG,PHG,leaver
10/6/14,o6,db1,ux,PHG,PHG,F,F,FF,same,db,1,Stable,o6,ux,0,o6,ux,o6_ux,1755,split apart,0,0.144358455,PHG,PHG,1,PHG,YNT,PHG,ENK,leaver
10/6/14,o6,dp1,ux,PHG,PHG,F,F,FF,same,dp,1,Stable,o6,ux,0,o6,ux,o6_ux,1755,split apart,0,0.144358455,PHG,PHG,1,PHG,YNT,PHG,ENK,leaver
10/6/14,ur,dt2,ob,PHG,PHG,F,F,FF,same,dt,2,Stable,ob,ur,0,ur,ob,ob_ur,4365,split apart,0,0.048556686,PHG,PHG,0,PHG,PHG,PHG,YNT,remainer
10/7/14,ob,dp2,fd,PHG,PHG,F,F,FF,same,dp,2,Stable,fd,ob,0,ob,fd,fd_ob,4365,split apart,0,0.458747041,PHG,PHG,0,PHG,YNT,PHG,PHG,leaver
10/8/14,ur,dt2,oa,PHG,PHG,F,F,FF,same,dt,2,Stable,oa,ur,0,ur,oa,oa_ur,4365,split apart,0,0.184987053,PHG,PHG,0,PHG,PHG,PHG,YNT,remainer
10/9/14,ob,dt2,bf,PHG,PHG,F,F,FF,same,dt,2,Stable,bf,ob,0,ob,bf,bf_ob,4380,split apart,0,0.564109953,PHG,PHG,0,PHG,YNT,PHG,PHG,leaver
10/18/14,dz,dt1,o6,PHG,PHG,F,F,FF,same,dt,1,Stable,dz,o6,0,dz,o6,dz_o6,1770,split apart,0,0.60893815,PHG,PHG,1,PHG,PHG,PHG,YNT,remainer
10/18/14,oa,dd2,fd,PHG,PHG,F,F,FF,same,dd,2,Stable,fd,oa,0,oa,fd,fd_oa,4365,split apart,0,0.225203301,PHG,PHG,0,PHG,YNT,PHG,PHG,leaver
10/18/14,ob,dt1,ux,PHG,PHG,F,F,FF,same,dt,1,Stable,ob,ux,0,ob,ux,ob_ux,4410,split apart,0,0.435890047,PHG,PHG,1,PHG,YNT,PHG,ENK,leaver
10/18/14,ob,dt2,ux,PHG,PHG,F,F,FF,same,dt,2,Stable,ux,ob,0,ob,ux,ob_ux,4410,split apart,0,0.435890047,PHG,PHG,0,PHG,YNT,PHG,ENK,leaver
10/21/14,fd,dn2,ux,PHG,PHG,F,F,FF,same,dn,2,Stable,ux,fd,0,fd,ux,fd_ux,4455,split apart,0,0.894637088,PHG,PHG,0,PHG,PHG,PHG,ENK,remainer
10/21/14,ux,dp2,o6,PHG,PHG,F,F,FF,same,dp,2,Stable,o6,ux,0,ux,o6,o6_ux,1755,split apart,0,0.144358455,PHG,PHG,0,PHG,ENK,PHG,YNT,remainer
10/21/14,ux,dt2,o6,PHG,PHG,F,F,FF,same,dt,2,Stable,o6,ux,0,ux,o6,o6_ux,1755,split apart,0,0.144358455,PHG,PHG,0,PHG,ENK,PHG,YNT,remainer
10/22/14,un,dn2,tr,PHG,PHG,F,F,FF,same,dn,2,Stable,tr,un,0,un,tr,tr_un,4470,split apart,0,0.582653905,PHG,PHG,0,PHG,PHG,PHG,YNT,remainer
