Dyad,Obs.effort,period,id1,id2,Grooming,sex1,group1,sex2,group2,sex.combo,group.combo,groom.prop,rval,kincat2,start1,destination1,start2,destination2,avg.rank1,avg.rank2,RankDiff,dob1,dob2,agediff,outcome.long,outcome.short
dz_oy,4350,Stable,dz,oy,0.0000,f,PHG,f,PHG,ff,same,0.0000,0,Non-kin,PHG,PHG,PHG,PHG,0.753,0.030,0.723,1/11/91,4/6/07,16.23271732,stayed together,stayed
dz_qc,2190,Stable,dz,qc,0.0000,f,PHG,f,ENK,ff,different,0.0000,0.25,Other kin,PHG,PHG,ENK,ENK,0.753,0.636,0.117,1/11/91,4/6/10,19.23340178,never together,never
dz_qn,4365,Stable,dz,qn,0.0000,f,PHG,f,ENK,ff,different,0.0000,0.25,Other kin,PHG,PHG,ENK,ENK,0.753,0.559,0.194,1/11/91,5/24/07,16.36413415,never together,never
dz_qp,4290,Stable,dz,qp,0.0000,f,PHG,f,ENK,ff,different,0.0000,0.25,Other kin,PHG,PHG,ENK,ENK,0.753,0.395,0.359,1/11/91,1/23/06,15.03353867,never together,never
dz_tr,4485,Stable,dz,tr,0.0000,f,PHG,f,PHG,ff,same,0.0000,0,Non-kin,PHG,PHG,PHG,YNT,0.753,0.684,0.070,1/11/91,NA,NA,split apart,split
dz_ty,4350,Stable,dz,ty,0.0000,f,PHG,f,PHG,ff,same,0.0000,0,Non-kin,PHG,PHG,PHG,PHG,0.753,0.399,0.354,1/11/91,8/6/09,18.56810404,stayed together,stayed
dz_ua,4380,Stable,dz,ua,0.0000,f,PHG,f,ENK,ff,different,0.0000,0,Non-kin,PHG,PHG,ENK,ENK,0.753,1.000,0.247,1/11/91,3/19/05,14.18480493,never together,never
dz_ug,4440,Stable,dz,ug,0.0000,f,PHG,f,PHG,ff,same,0.0000,0,Non-kin,PHG,PHG,PHG,PHG,0.753,0.197,0.556,1/11/91,10/27/08,17.79329227,stayed together,stayed
dz_uj,3045,Stable,dz,uj,0.0000,f,PHG,f,PHG,ff,same,0.0000,0,Non-kin,PHG,PHG,PHG,PHG,0.753,0.254,0.499,1/11/91,4/19/10,19.26899384,stayed together,stayed
dz_uk,4230,Stable,dz,uk,0.0000,f,PHG,f,ENK,ff,different,0.0000,0,Non-kin,PHG,PHG,ENK,ENK,0.753,0.067,0.687,1/11/91,2/26/09,18.12731006,never together,never
dz_un,4425,Stable,dz,un,7.3000,f,PHG,f,PHG,ff,same,0.0016,0,Non-kin,PHG,PHG,PHG,PHG,0.753,0.101,0.652,1/11/91,11/20/00,9.859000684,stayed together,stayed
dz_ur,4425,Stable,dz,ur,0.0000,f,PHG,f,PHG,ff,same,0.0000,0,Non-kin,PHG,PHG,PHG,PHG,0.753,0.484,0.269,1/11/91,8/3/02,11.55920602,stayed together,stayed
dz_ut,4335,Stable,dz,ut,0.0000,f,PHG,f,ENK,ff,different,0.0000,0,Non-kin,PHG,PHG,ENK,ENK,0.753,0.183,0.570,1/11/91,2/27/99,8.128678987,never together,never
dz_uv,4380,Stable,dz,uv,0.0000,f,PHG,f,ENK,ff,different,0.0000,0,Non-kin,PHG,PHG,ENK,ENK,0.753,0.822,0.068,1/11/91,7/24/07,16.53114305,never together,never
dz_ux,4470,Stable,dz,ux,0.0000,f,PHG,f,PHG,ff,same,0.0000,0,Non-kin,PHG,PHG,PHG,ENK,0.753,0.000,0.753,1/11/91,1/15/07,16.0109514,split apart,split
dz_uz,4500,Stable,dz,uz,0.0000,f,PHG,f,PHG,ff,same,0.0000,0,Non-kin,PHG,PHG,PHG,PHG,0.753,0.313,0.440,1/11/91,5/27/08,17.3744011,stayed together,stayed
