Dyad,Obs.effort,period,id1,id2,Grooming,sex1,group1,sex2,group2,sex.combo,group.combo,groom.prop,Male.Rank,Fem.Rank,RankDiff,s1,d1,s2,d2,outcome,,
bt_fx,3555,Stable,bt,fx,0.000,m,PHG,f,PHG,fm,same,0.0000,0.669,0.824,0.155,PHG,PHG,PHG,PHG,stayed together,,
bt_gm,1215,Fission,bt,gm,63.600,m,PHG,f,PHG,fm,same,0.0523,0.669,0.667,0.002,PHG,PHG,PHG,PHG,stayed together,,
bt_gm,1500,Dispersal 2,bt,gm,1.650,m,PHG,f,PHG,fm,same,0.0011,0.669,0.667,0.002,PHG,PHG,PHG,PHG,stayed together,,
bt_gm,1710,Dispersal 1,bt,gm,0.000,m,PHG,f,PHG,fm,same,0.0000,0.669,0.667,0.002,PHG,PHG,PHG,PHG,stayed together,,
bt_gr,690,Dispersal 2,bt,gr,0.000,m,PHG,f,PHG,fm,same,0.0000,0.669,0.381,0.288,PHG,PHG,PHG,PHG,stayed together,,
bt_gr,1245,Fission,bt,gr,0.000,m,PHG,f,PHG,fm,same,0.0000,0.669,0.381,0.288,PHG,PHG,PHG,PHG,stayed together,,
bt_gy,435,Dispersal 2,bt,gy,0.000,m,PHG,f,PHG,fm,same,0.0000,0.669,0.583,0.086,PHG,PHG,PHG,PHG,stayed together,,
bt_gy,1185,Fission,bt,gy,0.000,m,PHG,f,PHG,fm,same,0.0000,0.669,0.583,0.086,PHG,PHG,PHG,PHG,stayed together,,
bt_o6,1230,Fission,bt,o6,0.000,m,PHG,f,YNT,fm,different,0.0000,0.669,0.144,0.525,PHG,PHG,PHG,YNT,split apart,,
bt_o6,1440,Stable,bt,o6,0.000,m,PHG,f,PHG,fm,same,0.0000,0.669,0.144,0.525,PHG,PHG,PHG,YNT,split apart,,
bt_o6,1485,Dispersal 2,bt,o6,0.000,m,PHG,f,ENK,fm,different,0.0000,0.669,0.144,0.525,PHG,PHG,PHG,YNT,split apart,,
bt_o6,1695,Dispersal 1,bt,o6,0.000,m,PHG,f,PHG,fm,same,0.0000,0.669,0.144,0.525,PHG,PHG,PHG,YNT,split apart,,
bt_oa,1245,Fission,bt,oa,0.000,m,PHG,f,YNT,fm,different,0.0000,0.669,0.669,0.000,PHG,PHG,PHG,YNT,split apart,,
bt_oa,1500,Dispersal 2,bt,oa,0.000,m,PHG,f,ENK,fm,different,0.0000,0.669,0.669,0.000,PHG,PHG,PHG,YNT,split apart,,
bt_oa,1785,Dispersal 1,bt,oa,0.000,m,PHG,f,PHG,fm,same,0.0000,0.669,0.669,0.000,PHG,PHG,PHG,YNT,split apart,,
bt_oa,3465,Stable,bt,oa,0.000,m,PHG,f,PHG,fm,same,0.0000,0.669,0.669,0.000,PHG,PHG,PHG,YNT,split apart,,
bt_ob,1245,Fission,bt,ob,1.350,m,PHG,f,YNT,fm,different,0.0011,0.669,0.436,0.233,PHG,PHG,PHG,YNT,split apart,,
bt_ob,1485,Dispersal 2,bt,ob,0.000,m,PHG,f,ENK,fm,different,0.0000,0.669,0.436,0.233,PHG,PHG,PHG,YNT,split apart,,
bt_ob,1740,Dispersal 1,bt,ob,0.000,m,PHG,f,ENK,fm,different,0.0000,0.669,0.436,0.233,PHG,PHG,PHG,YNT,split apart,,
bt_ob,3465,Stable,bt,ob,0.000,m,PHG,f,PHG,fm,same,0.0000,0.669,0.436,0.233,PHG,PHG,PHG,YNT,split apart,,
