id,period,sex,group,ageclass,Shape,start,destination,color,size,strength,ec,bw,degree
ur,Dispersal 2,f,PHG,adf,circle,PHG,PHG,#440154FF,15,0.092114474,0.881463223,153,18
uz,Dispersal 2,f,PHG,saf,circle,PHG,PHG,#440154FF,15,0.036998071,0.371120099,95,10
xh,Dispersal 2,m,PHG,sam1,square,PHG,ENK,#440154FF,15,0,9.29424017073306e-17,0,0
yp,Dispersal 2,f,PHG,saf,circle,PHG,PHG,#440154FF,15,0.035457541,0.374193029,70,9
bf,Dispersal 2,f,PHG,adf,circle,PHG,PHG,#440154FF,15,0.061608675,0.576354071,0,13
bt,Fission,m,PHG,adm,square,PHG,PHG,#440154FF,15,0.132316578,1,0,12
co,Fission,f,PHG,saf,circle,PHG,PHG,#440154FF,15,0.020358018,0.120533237,117,10
cr,Fission,f,PHG,saf,circle,PHG,PHG,#440154FF,15,0.024515373,0.138775416,0,10
dz,Fission,f,PHG,adf,circle,PHG,PHG,#440154FF,15,0.046629011,0.19231068,72,20
fd,Fission,f,PHG,adf,circle,PHG,PHG,#440154FF,15,0.071182502,0.320334475,236,24
fx,Fission,f,PHG,adf,circle,PHG,PHG,#440154FF,15,0.089141514,0.663981311,349,26
gb,Fission,f,PHG,saf,circle,PHG,PHG,#440154FF,15,0.020419103,0.102391269,0,3
gm,Fission,f,PHG,adf,circle,PHG,PHG,#440154FF,15,0.092075412,0.721601798,83,24
gr,Fission,f,PHG,saf,circle,PHG,PHG,#440154FF,15,0.009034042,0.049409254,250,6
gy,Fission,f,PHG,saf,circle,PHG,PHG,#440154FF,15,0.035643048,0.171156487,101,17
jy,Fission,m,PHG,sam3,square,PHG,PHG,#440154FF,15,0.105860751,0.749588086,6,14
oy,Fission,f,PHG,adf,circle,PHG,PHG,#440154FF,15,0.0381217,0.299207685,261,18
oz,Fission,m,PHG,adm,square,ENK,PHG,#440154FF,15,0.00629617,0.04301546,0,3
ph,Fission,m,PHG,sam3,square,PHG,PHG,#440154FF,15,0.088981192,0.660003646,4,12
pz,Fission,m,PHG,adm,square,PHG,PHG,#440154FF,15,0.055583862,0.260677881,6,12
sn,Fission,m,PHG,adm,square,ENK,PHG,#440154FF,15,0.037539658,0.229359172,0,11
ty,Fission,f,PHG,adf,circle,PHG,PHG,#440154FF,15,0.074644189,0.574518404,99,20
ub,Fission,m,PHG,sam1,square,PHG,PHG,#440154FF,15,0.006688815,0.028632546,0,6
ug,Fission,f,PHG,adf,circle,PHG,PHG,#440154FF,15,0.073203476,0.494135762,0,23
uj,Fission,f,PHG,adf,circle,PHG,PHG,#440154FF,15,0.098987419,0.761424859,278,26
um,Fission,m,PHG,sam2,square,PHG,PHG,#440154FF,15,0.004799366,0.025444818,0,5
un,Fission,f,PHG,adf,circle,PHG,PHG,#440154FF,15,0.081638454,0.475421657,314,26
ur,Fission,f,PHG,adf,circle,PHG,PHG,#440154FF,15,0.105665901,0.697754432,130,26
uz,Fission,f,PHG,adf,circle,PHG,PHG,#440154FF,15,0.089642702,0.676092825,130,18
xh,Fission,m,PHG,sam3,square,PHG,ENK,#440154FF,15,0.007526087,0.02627982,20,6
yp,Fission,f,PHG,adf,circle,PHG,PHG,#440154FF,15,0.072428252,0.375868948,0,17
bf,Fission,f,PHG,adf,circle,PHG,PHG,#440154FF,15,0.067480823,0.274364613,18,20
